X,Y,ONE,TWO,THREE,FOUR,FIVE,SIX,SEVEN,EIGHT,NINE,TEN
295.627,1137.55,-63,-46,-72,-72,-70,-81,-120,-80,-78,-70
305.862,459.934,-120,-120,-74,-72,-120,-120,-120,-120,-120,-120
306.227,1206.74,-47,-56,-84,-120,-43,-74,-77,-86,-89,-43
312.301,1637.78,-74,-120,-120,-120,-86,-88,-65,-120,-120,-80
316.413,467.677,-120,-78,-77,-78,-120,-120,-120,-120,-120,-120
317.872,1631.19,-77,-89,-120,-120,-82,-120,-65,-120,-120,-87
337.913,843.63,-74,-57,-41,-40,-75,-120,-120,-78,-73,-76
346.639,840.977,-78,-120,-49,-49,-81,-87,-120,-82,-82,-78
351.373,1636.56,-76,-120,-120,-120,-73,-89,-63,-120,-120,-74
378.833,459.921,-84,-78,-79,-120,-120,-120,-120,-120,-120,-120
382.755,475.087,-120,-73,-75,-78,-120,-120,-120,-120,-120,-120
418.059,465.562,-120,-81,-83,-81,-120,-120,-120,-120,-120,-120
443.818,1630.94,-81,-120,-120,-120,-79,-82,-57,-120,-120,-79
449.829,463.594,-120,-83,-83,-79,-120,-120,-120,-120,-120,-120
460.241,246.514,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120
460.538,293.265,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120
465.415,739.951,-120,-120,-67,-67,-120,-86,-120,-86,-67,-120
466.561,1568.83,-71,-120,-120,-120,-81,-79,-27,-120,-120,-84
467.027,680.351,-120,-120,-76,-73,-120,-120,-120,-87,-86,-120
468.36,823.264,-85,-120,-56,-56,-83,-86,-89,-88,-70,-83
468.505,1616.27,-82,-120,-120,-120,-85,-81,-58,-120,-120,-84
470.218,100.958,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120
478.822,176.102,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120
486.636,1010.62,-64,-57,-76,-75,-74,-71,-82,-52,-53,-72
487.081,1006.58,-80,-62,-82,-82,-85,-79,-83,-65,-62,-86
487.395,858.653,-79,-67,-64,-63,-87,-81,-120,-70,-67,-88
487.868,886.58,-73,-61,-82,-82,-77,-80,-84,-66,-65,-78
488.279,980.885,-79,-53,-74,-74,-77,-73,-85,-56,-59,-77
490.743,937.981,-74,-66,-64,-65,-80,-72,-85,-60,-57,-80
491.832,1629.44,-82,-120,-120,-120,-79,-81,-52,-88,-120,-79
492.069,1170.63,-62,-62,-87,-86,-75,-58,-80,-71,-68,-75
492.725,931.193,-80,-65,-76,-77,-86,-77,-86,-62,-62,-85
492.737,892.338,-75,-59,-58,-58,-81,-72,-77,-60,-61,-81
493.69,1164.36,-59,-61,-84,-83,-64,-56,-76,-59,-66,-63
494.093,861.802,-87,-66,-76,-76,-87,-81,-72,-75,-72,-89
494.141,1218.91,-62,-65,-86,-87,-67,-58,-80,-71,-71,-68
496.176,1221.36,-60,-58,-86,-85,-63,-52,-71,-60,-74,-57
497.379,1172.86,-68,-68,-90,-90,-69,-67,-80,-68,-62,-73
497.708,1212.37,-89,-71,-87,-87,-72,-72,-77,-79,-80,-72
498.206,1638.89,-90,-120,-120,-120,-120,-85,-78,-120,-120,-120
502.072,1151.75,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120
502.986,1143.24,-68,-59,-87,-86,-75,-65,-77,-65,-71,-75
503.027,1073.29,-67,-62,-82,-80,-72,-64,-76,-54,-59,-67
503.352,1066.69,-80,-62,-120,-120,-81,-76,-83,-59,-62,-82
504.651,1111.78,-77,-62,-88,-87,-72,-60,-86,-65,-71,-72
505.922,1106.22,-65,-55,-82,-82,-66,-64,-77,-58,-63,-71
506.2,830.409,-81,-62,-53,-53,-83,-75,-79,-69,-67,-81
506.393,1069.52,-68,-71,-78,-79,-81,-67,-77,-59,-74,-80
508.199,1147.51,-68,-68,-86,-88,-71,-60,-80,-62,-71,-71
509.225,932.034,-77,-59,-76,-76,-70,-75,-81,-54,-62,-70
509.225,1003.82,-78,-62,-80,-79,-75,-76,-83,-54,-48,-76
510.849,968.138,-77,-56,-81,-80,-73,-71,-79,-54,-52,-71
512.134,1154.48,-74,-61,-83,-83,-69,-59,-76,-59,-63,-64
513.893,477.76,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120
516.324,826.854,-80,-64,-58,-59,-86,-75,-81,-66,-67,-120
519.023,474.024,-120,-81,-120,-120,-120,-120,-120,-120,-120,-120
523.16,1221.12,-61,-62,-73,-73,-64,-48,-72,-64,-70,-64
524.925,1224.54,-69,-72,-120,-120,-72,-54,-72,-75,-81,-71
532.07,1633.26,-80,-120,-120,-120,-86,-79,-56,-89,-120,-87
532.164,1216.76,-57,-69,-83,-82,-63,-45,-71,-69,-71,-63
537.972,850.792,-79,-62,-56,-56,-86,-83,-83,-65,-62,-120
559.256,1411.47,-71,-120,-120,-120,-78,-60,-53,-89,-86,-79
567.545,870.806,-120,-120,-79,-81,-120,-120,-120,-90,-87,-120
570.878,1631.51,-80,-120,-120,-120,-85,-77,-53,-87,-88,-87
572.541,646.398,-120,-89,-86,-83,-120,-81,-86,-74,-89,-120
573.31,393.943,-120,-93,-120,-120,-120,-120,-120,-120,-120,-120
576.415,1116.96,-74,-66,-120,-120,-76,-55,-77,-64,-60,-78
577.492,547.119,-120,-120,-86,-86,-120,-82,-86,-81,-81,-120
578.192,542.024,-89,-89,-85,-85,-120,-82,-86,-80,-89,-120
579.153,694.54,-120,-82,-60,-66,-120,-75,-80,-68,-65,-120
580.367,1405.11,-69,-74,-120,-120,-69,-55,-50,-72,-74,-68
580.812,618.591,-120,-83,-81,-83,-120,-82,-82,-75,-77,-120
581.065,720.169,-120,-92,-84,-85,-120,-84,-87,-87,-90,-120
581.208,654.636,-120,-90,-81,-81,-120,-120,-82,-84,-88,-120
581.298,701.023,-120,-89,-89,-88,-120,-87,-83,-86,-83,-120
581.897,337.493,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120
582.406,638.853,-120,-120,-86,-83,-120,-88,-90,-93,-84,-120
583.026,467.414,-120,-120,-82,-120,-120,-75,-81,-77,-82,-120
583.051,1183.45,-68,-60,-120,-120,-73,-54,-75,-59,-66,-73
583.093,1216.76,-69,-68,-120,-120,-68,-47,-61,-66,-72,-69
583.855,280.699,-120,-120,-120,-120,-120,-120,-80,-88,-86,-120
584.198,1531.25,-72,-86,-120,-120,-75,-62,-50,-83,-77,-73
584.304,1527.69,-77,-120,-120,-120,-85,-69,-52,-84,-88,-81
584.458,379.019,-120,-120,-120,-120,-120,-83,-81,-120,-87,-120
584.815,1151.93,-78,-120,-85,-120,-82,-55,-73,-66,-71,-79
584.84,900.917,-84,-120,-77,-76,-88,-76,-82,-67,-62,-120
585.204,858.065,-83,-120,-71,-72,-120,-74,-87,-69,-69,-120
586.02,901.206,-83,-120,-74,-120,-84,-66,-72,-60,-56,-82
586.031,471.229,-120,-120,-87,-88,-120,-88,-120,-93,-90,-120
586.058,424.508,-120,-120,-120,-85,-120,-75,-82,-84,-87,-120
586.167,1606.67,-86,-120,-120,-120,-88,-75,-54,-85,-74,-88
586.581,1333.55,-72,-120,-120,-120,-77,-52,-60,-86,-85,-77
586.617,529.938,-120,-88,-82,-82,-120,-120,-120,-120,-86,-120
586.682,1198.9,-66,-120,-120,-120,-72,-52,-78,-71,-76,-72
586.685,1029.41,-86,-120,-84,-84,-86,-64,-84,-59,-62,-120
586.857,326.086,-120,-120,-120,-120,-120,-80,-81,-120,-83,-120
586.889,1235.58,-72,-120,-120,-120,-72,-49,-70,-68,-74,-74
586.962,453.228,-120,-120,-84,-85,-120,-86,-82,-82,-85,-120
587.008,790.818,-89,-82,-77,-78,-120,-78,-80,-75,-78,-120
588.52,1278.68,-66,-70,-120,-120,-68,-40,-66,-68,-82,-67
588.759,967.844,-84,-120,-87,-82,-84,-68,-77,-62,-57,-120
588.818,69.2318,-120,-120,-120,-120,-120,-85,-82,-120,-120,-120
588.853,1088.75,-77,-120,-120,-120,-82,-60,-80,-89,-63,-120
588.889,1278.77,-70,-120,-120,-120,-74,-46,-74,-75,-78,-76
589.49,925.513,-120,-120,-64,-65,-120,-120,-120,-120,-120,-120
589.538,810.498,-89,-80,-73,-73,-120,-74,-74,-74,-80,-120
589.651,554.8,-120,-90,-88,-88,-120,-87,-90,-84,-78,-120
589.796,75.6209,-120,-120,-120,-120,-120,-120,-84,-90,-120,-120
590.426,842.417,-90,-81,-68,-65,-120,-76,-78,-66,-78,-120
592.829,848.501,-77,-60,-66,-66,-84,-78,-80,-66,-64,-84
593.397,840.474,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120
595.275,1405.69,-71,-120,-120,-120,-74,-58,-62,-76,-85,-75
595.82,205.889,-120,-120,-120,-120,-120,-87,-84,-120,-91,-120
596.723,253.088,-120,-120,-120,-120,-120,-87,-83,-120,-91,-120
596.954,555.075,-120,-86,-87,-87,-120,-86,-120,-86,-89,-120
597.24,1395.66,-72,-76,-120,-120,-71,-54,-56,-79,-86,-69
597.56,422.271,-120,-93,-90,-89,-120,-82,-120,-90,-90,-120
599.23,918.337,-69,-72,-74,-74,-86,-75,-80,-58,-57,-80
600.224,1633.85,-77,-86,-120,-120,-84,-71,-47,-85,-88,-84
601.474,251.932,-120,-120,-120,-120,-120,-120,-120,-84,-93,-120
603.878,214.299,-120,-120,-120,-120,-120,-120,-90,-120,-120,-120
606.07,1212.63,-84,-120,-120,-120,-74,-53,-80,-82,-79,-75
611.52,1340.91,-71,-78,-120,-120,-73,-44,-62,-78,-79,-73
612.336,1302.37,-73,-82,-120,-120,-76,-44,-65,-76,-82,-76
612.881,1367.92,-68,-77,-120,-120,-75,-49,-59,-83,-89,-76
613.153,1320.38,-78,-120,-120,-120,-74,-45,-66,-79,-120,-76
613.153,1385.09,-90,-80,-120,-120,-75,-52,-63,-79,-80,-77
616.87,846.769,-120,-79,-69,-66,-120,-78,-120,-70,-75,-120
621.359,1368.53,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120
622.934,1339.68,-80,-86,-120,-120,-83,-54,-71,-83,-86,-84
626.247,1350.91,-83,-86,-120,-120,-87,-59,-74,-83,-80,-87
626.888,1363.39,-80,-86,-120,-120,-85,-58,-62,-86,-89,-120
631.956,1373.21,-80,-83,-120,-120,-87,-54,-68,-86,-89,-84
638.123,884.065,-120,-78,-74,-73,-120,-85,-120,-66,-66,-120
638.516,1332.14,-76,-80,-120,-120,-80,-52,-63,-79,-80,-79
638.765,1213.06,-67,-120,-120,-120,-79,-59,-79,-83,-75,-80
638.977,1368.24,-81,-91,-120,-120,-89,-58,-79,-120,-90,-88
639.647,476.54,-85,-89,-71,-71,-120,-120,-120,-120,-120,-120
640.535,1366.23,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120
640.535,1367.04,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120
641.476,470.542,-120,-90,-120,-120,-120,-120,-120,-120,-93,-120
653.177,1433.69,-89,-120,-120,-120,-86,-65,-69,-86,-89,-85
655.88,1458.34,-74,-84,-120,-120,-83,-60,-67,-85,-87,-82
656.463,1428.8,-78,-80,-120,-120,-82,-61,-62,-88,-88,-83
656.613,1352.27,-83,-120,-120,-120,-84,-61,-76,-85,-88,-85
658.295,881.496,-89,-120,-85,-85,-120,-85,-89,-77,-81,-120
658.307,1361.33,-82,-90,-120,-120,-88,-58,-70,-88,-91,-89
662.463,1618.36,-71,-75,-120,-120,-70,-85,-69,-82,-78,-69
662.961,1367.08,-68,-73,-120,-120,-76,-47,-59,-81,-88,-76
663.233,1326.57,-68,-81,-120,-120,-74,-48,-63,-79,-85,-74
665.138,1303.21,-70,-78,-120,-120,-70,-48,-62,-79,-83,-70
665.138,1345.98,-68,-80,-120,-120,-76,-47,-60,-81,-80,-76
665.444,1468.52,-82,-120,-120,-120,-87,-68,-69,-88,-88,-120
667.117,1260.16,-72,-82,-120,-120,-82,-57,-71,-77,-80,-80
667.117,1285.01,-72,-80,-120,-120,-82,-52,-69,-75,-78,-83
667.974,1465.34,-81,-120,-120,-120,-86,-68,-65,-81,-120,-87
669.734,1067.7,-85,-80,-120,-120,-120,-70,-87,-65,-70,-120
670.049,1162.61,-82,-77,-120,-120,-81,-62,-79,-69,-72,-84
671.679,1214.77,-82,-120,-120,-120,-80,-59,-78,-76,-77,-80
